business_date,service_period,plate,qty_sold,price_sold_at,special,discount_name,check_count,net_sales
2026-01-01,Breakfast,Harbor Room Taco Salad,6,16.0,no,,3,96.0
2026-01-02,Breakfast,Harbor Room Taco Salad,17,16.0,no,,8,272.0
2026-01-03,Breakfast,Harbor Room Taco Salad,18,16.0,no,,9,288.0
2026-01-04,Breakfast,Harbor Room Taco Salad,13,16.0,no,,6,208.0
2026-01-05,Breakfast,Harbor Room Taco Salad,10,16.0,no,,5,160.0
2026-01-06,Breakfast,Harbor Room Taco Salad,11,16.0,no,,5,176.0
2026-01-07,Breakfast,Harbor Room Taco Salad,6,16.0,no,,3,96.0
2026-01-08,Breakfast,Harbor Room Taco Salad,7,16.0,no,,3,112.0
2026-01-09,Breakfast,Harbor Room Taco Salad,18,16.0,no,,9,288.0
2026-01-10,Breakfast,Harbor Room Taco Salad,19,16.0,no,,9,304.0
2026-01-11,Breakfast,Harbor Room Taco Salad,14,16.0,no,,7,224.0
2026-01-12,Breakfast,Harbor Room Taco Salad,11,16.0,no,,5,176.0
2026-01-13,Breakfast,Harbor Room Taco Salad,6,16.0,no,,3,96.0
2026-01-14,Breakfast,Harbor Room Taco Salad,7,16.0,no,,3,112.0
2026-01-15,Breakfast,Harbor Room Taco Salad,8,16.0,no,,4,128.0
2026-01-16,Breakfast,Harbor Room Taco Salad,19,16.0,no,,9,304.0
2026-01-17,Breakfast,Harbor Room Taco Salad,20,16.0,no,,10,320.0
2026-01-18,Breakfast,Harbor Room Taco Salad,15,16.0,no,,7,240.0
2026-01-19,Breakfast,Harbor Room Taco Salad,13,13.44,yes,Chef Special,6,174.72
2026-01-20,Breakfast,Harbor Room Taco Salad,7,16.0,no,,3,112.0
2026-01-21,Breakfast,Harbor Room Taco Salad,8,16.0,no,,4,128.0
2026-01-22,Breakfast,Harbor Room Taco Salad,9,16.0,no,,4,144.0
2026-01-23,Breakfast,Harbor Room Taco Salad,20,16.0,no,,10,320.0
2026-01-24,Breakfast,Harbor Room Taco Salad,21,16.0,no,,10,336.0
2026-01-25,Breakfast,Harbor Room Taco Salad,10,16.0,no,,5,160.0
2026-01-26,Breakfast,Harbor Room Taco Salad,7,16.0,no,,3,112.0
2026-01-27,Breakfast,Harbor Room Taco Salad,8,16.0,no,,4,128.0
2026-01-28,Breakfast,Harbor Room Taco Salad,9,16.0,no,,4,144.0
2026-01-29,Breakfast,Harbor Room Taco Salad,10,16.0,no,,5,160.0
2026-01-30,Breakfast,Harbor Room Taco Salad,21,16.0,no,,10,336.0
2026-01-31,Breakfast,Harbor Room Taco Salad,16,16.0,no,,8,256.0
2026-02-01,Breakfast,Harbor Room Taco Salad,11,16.0,no,,5,176.0
2026-02-02,Breakfast,Harbor Room Taco Salad,8,16.0,no,,4,128.0
2026-02-03,Breakfast,Harbor Room Taco Salad,9,16.0,no,,4,144.0
2026-02-04,Breakfast,Harbor Room Taco Salad,10,16.0,no,,5,160.0
2026-02-05,Breakfast,Harbor Room Taco Salad,11,16.0,no,,5,176.0
2026-02-06,Breakfast,Harbor Room Taco Salad,16,16.0,no,,8,256.0
2026-02-07,Breakfast,Harbor Room Taco Salad,17,16.0,no,,8,272.0
2026-02-08,Breakfast,Harbor Room Taco Salad,12,16.0,no,,6,192.0
2026-02-09,Breakfast,Harbor Room Taco Salad,16,13.44,yes,Chef Special,8,215.04
2026-02-10,Breakfast,Harbor Room Taco Salad,10,16.0,no,,5,160.0
2026-02-11,Breakfast,Harbor Room Taco Salad,11,16.0,no,,5,176.0
2026-02-12,Breakfast,Harbor Room Taco Salad,6,16.0,no,,3,96.0
2026-02-13,Breakfast,Harbor Room Taco Salad,17,16.0,no,,8,272.0
2026-02-14,Breakfast,Harbor Room Taco Salad,18,16.0,no,,9,288.0
2026-02-15,Breakfast,Harbor Room Taco Salad,13,16.0,no,,6,208.0
2026-02-16,Breakfast,Harbor Room Taco Salad,10,16.0,no,,5,160.0
2026-02-17,Breakfast,Harbor Room Taco Salad,11,16.0,no,,5,176.0
2026-02-18,Breakfast,Harbor Room Taco Salad,6,16.0,no,,3,96.0
2026-02-19,Breakfast,Harbor Room Taco Salad,7,16.0,no,,3,112.0
2026-02-20,Breakfast,Harbor Room Taco Salad,18,16.0,no,,9,288.0
2026-02-21,Breakfast,Harbor Room Taco Salad,19,16.0,no,,9,304.0
2026-02-22,Breakfast,Harbor Room Taco Salad,14,16.0,no,,7,224.0
2026-02-23,Breakfast,Harbor Room Taco Salad,11,16.0,no,,5,176.0
2026-02-24,Breakfast,Harbor Room Taco Salad,6,16.0,no,,3,96.0
2026-02-25,Breakfast,Harbor Room Taco Salad,7,16.0,no,,3,112.0
2026-02-26,Breakfast,Harbor Room Taco Salad,8,16.0,no,,4,128.0
2026-02-27,Breakfast,Harbor Room Taco Salad,19,16.0,no,,9,304.0
2026-02-28,Breakfast,Harbor Room Taco Salad,20,16.0,no,,10,320.0
2026-03-01,Breakfast,Harbor Room Taco Salad,15,16.0,no,,7,240.0
2026-03-02,Breakfast,Harbor Room Taco Salad,13,13.44,yes,Chef Special,6,174.72
2026-03-03,Breakfast,Harbor Room Taco Salad,7,16.0,no,,3,112.0
2026-03-04,Breakfast,Harbor Room Taco Salad,8,16.0,no,,4,128.0
2026-03-05,Breakfast,Harbor Room Taco Salad,9,16.0,no,,4,144.0
2026-03-06,Breakfast,Harbor Room Taco Salad,20,16.0,no,,10,320.0
2026-03-07,Breakfast,Harbor Room Taco Salad,21,16.0,no,,10,336.0
2026-03-08,Breakfast,Harbor Room Taco Salad,10,16.0,no,,5,160.0
2026-03-09,Breakfast,Harbor Room Taco Salad,7,16.0,no,,3,112.0
2026-03-10,Breakfast,Harbor Room Taco Salad,8,16.0,no,,4,128.0
2026-03-11,Breakfast,Harbor Room Taco Salad,9,16.0,no,,4,144.0
