business_date,service_period,plate,qty_sold,price_sold_at,special,discount_name,check_count,net_sales
2026-01-01,Lunch,Neighborhood Lunch Plate 01,6,16.0,no,,3,96.0
2026-01-03,Lunch,Neighborhood Lunch Plate 01,18,16.0,no,,9,288.0
2026-01-05,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-01-07,Lunch,Neighborhood Lunch Plate 01,6,16.0,no,,3,96.0
2026-01-09,Lunch,Neighborhood Lunch Plate 01,18,16.0,no,,9,288.0
2026-01-11,Lunch,Neighborhood Lunch Plate 01,14,16.0,no,,7,224.0
2026-01-13,Lunch,Neighborhood Lunch Plate 01,6,16.0,no,,3,96.0
2026-01-15,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-01-17,Lunch,Neighborhood Lunch Plate 01,20,16.0,no,,10,320.0
2026-01-19,Lunch,Neighborhood Lunch Plate 01,13,13.44,yes,Chef Special,6,174.72
2026-01-21,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-01-23,Lunch,Neighborhood Lunch Plate 01,20,16.0,no,,10,320.0
2026-01-25,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-01-27,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-01-29,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-01-31,Lunch,Neighborhood Lunch Plate 01,16,16.0,no,,8,256.0
2026-02-02,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-02-04,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-02-06,Lunch,Neighborhood Lunch Plate 01,16,16.0,no,,8,256.0
2026-02-08,Lunch,Neighborhood Lunch Plate 01,12,16.0,no,,6,192.0
2026-02-10,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-02-12,Lunch,Neighborhood Lunch Plate 01,6,16.0,no,,3,96.0
2026-02-14,Lunch,Neighborhood Lunch Plate 01,18,16.0,no,,9,288.0
2026-02-16,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-02-18,Lunch,Neighborhood Lunch Plate 01,6,16.0,no,,3,96.0
2026-02-20,Lunch,Neighborhood Lunch Plate 01,18,16.0,no,,9,288.0
2026-02-22,Lunch,Neighborhood Lunch Plate 01,14,16.0,no,,7,224.0
2026-02-24,Lunch,Neighborhood Lunch Plate 01,6,16.0,no,,3,96.0
2026-02-26,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-02-28,Lunch,Neighborhood Lunch Plate 01,20,16.0,no,,10,320.0
2026-03-02,Lunch,Neighborhood Lunch Plate 01,13,13.44,yes,Chef Special,6,174.72
2026-03-04,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-03-06,Lunch,Neighborhood Lunch Plate 01,20,16.0,no,,10,320.0
2026-03-08,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-03-10,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-03-12,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-03-14,Lunch,Neighborhood Lunch Plate 01,16,16.0,no,,8,256.0
2026-03-16,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-03-18,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-03-20,Lunch,Neighborhood Lunch Plate 01,16,16.0,no,,8,256.0
2026-03-22,Lunch,Neighborhood Lunch Plate 01,12,16.0,no,,6,192.0
2026-03-24,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-03-26,Lunch,Neighborhood Lunch Plate 01,6,16.0,no,,3,96.0
2026-03-28,Lunch,Neighborhood Lunch Plate 01,18,16.0,no,,9,288.0
2026-03-30,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-04-01,Lunch,Neighborhood Lunch Plate 01,6,16.0,no,,3,96.0
2026-04-03,Lunch,Neighborhood Lunch Plate 01,18,16.0,no,,9,288.0
2026-04-05,Lunch,Neighborhood Lunch Plate 01,14,16.0,no,,7,224.0
2026-04-07,Lunch,Neighborhood Lunch Plate 01,6,16.0,no,,3,96.0
2026-04-09,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-04-11,Lunch,Neighborhood Lunch Plate 01,20,16.0,no,,10,320.0
2026-04-13,Lunch,Neighborhood Lunch Plate 01,13,13.44,yes,Chef Special,6,174.72
2026-04-15,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-04-17,Lunch,Neighborhood Lunch Plate 01,20,16.0,no,,10,320.0
2026-04-19,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-04-21,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-04-23,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-04-25,Lunch,Neighborhood Lunch Plate 01,16,16.0,no,,8,256.0
2026-04-27,Lunch,Neighborhood Lunch Plate 01,8,16.0,no,,4,128.0
2026-04-29,Lunch,Neighborhood Lunch Plate 01,10,16.0,no,,5,160.0
2026-05-01,Lunch,Neighborhood Lunch Plate 01,22,16.0,no,,11,352.0
2026-05-03,Lunch,Neighborhood Lunch Plate 01,18,16.0,no,,9,288.0
2026-05-05,Lunch,Neighborhood Lunch Plate 01,16,16.0,no,,8,256.0
2026-05-07,Lunch,Neighborhood Lunch Plate 01,12,16.0,no,,6,192.0
2026-05-09,Lunch,Neighborhood Lunch Plate 01,24,16.0,no,,12,384.0
2026-05-11,Lunch,Neighborhood Lunch Plate 01,16,16.0,no,,8,256.0
2026-05-13,Lunch,Neighborhood Lunch Plate 01,12,16.0,no,,6,192.0
2026-05-15,Lunch,Neighborhood Lunch Plate 01,24,16.0,no,,12,384.0
2026-05-17,Lunch,Neighborhood Lunch Plate 01,20,16.0,no,,10,320.0
2026-05-19,Lunch,Neighborhood Lunch Plate 01,12,16.0,no,,6,192.0
2026-05-21,Lunch,Neighborhood Lunch Plate 01,14,16.0,no,,7,224.0
2026-05-23,Lunch,Neighborhood Lunch Plate 01,26,16.0,no,,13,416.0
2026-05-25,Lunch,Neighborhood Lunch Plate 01,19,13.44,yes,Chef Special,9,255.36
2026-05-27,Lunch,Neighborhood Lunch Plate 01,14,16.0,no,,7,224.0
2026-05-29,Lunch,Neighborhood Lunch Plate 01,26,16.0,no,,13,416.0
2026-05-31,Lunch,Neighborhood Lunch Plate 01,16,16.0,no,,8,256.0
2026-06-02,Lunch,Neighborhood Lunch Plate 01,14,16.0,no,,7,224.0
2026-06-04,Lunch,Neighborhood Lunch Plate 01,16,16.0,no,,8,256.0
2026-06-06,Lunch,Neighborhood Lunch Plate 01,22,16.0,no,,11,352.0
2026-06-08,Lunch,Neighborhood Lunch Plate 01,14,16.0,no,,7,224.0
2026-06-10,Lunch,Neighborhood Lunch Plate 01,16,16.0,no,,8,256.0
2026-06-12,Lunch,Neighborhood Lunch Plate 01,22,16.0,no,,11,352.0
2026-01-02,Lunch,Neighborhood Lunch Plate 02,19,18.5,no,,9,351.5
2026-01-04,Lunch,Neighborhood Lunch Plate 02,15,18.5,no,,7,277.5
2026-01-06,Lunch,Neighborhood Lunch Plate 02,7,18.5,no,,3,129.5
2026-01-08,Lunch,Neighborhood Lunch Plate 02,9,18.5,no,,4,166.5
2026-01-10,Lunch,Neighborhood Lunch Plate 02,21,18.5,no,,10,388.5
2026-01-12,Lunch,Neighborhood Lunch Plate 02,7,18.5,no,,3,129.5
2026-01-14,Lunch,Neighborhood Lunch Plate 02,9,18.5,no,,4,166.5
2026-01-16,Lunch,Neighborhood Lunch Plate 02,21,18.5,no,,10,388.5
2026-01-18,Lunch,Neighborhood Lunch Plate 02,11,18.5,no,,5,203.5
2026-01-20,Lunch,Neighborhood Lunch Plate 02,16,15.54,yes,Chef Special,8,248.64
2026-01-22,Lunch,Neighborhood Lunch Plate 02,11,18.5,no,,5,203.5
2026-01-24,Lunch,Neighborhood Lunch Plate 02,17,18.5,no,,8,314.5
2026-01-26,Lunch,Neighborhood Lunch Plate 02,9,18.5,no,,4,166.5
2026-01-28,Lunch,Neighborhood Lunch Plate 02,11,18.5,no,,5,203.5
2026-01-30,Lunch,Neighborhood Lunch Plate 02,17,18.5,no,,8,314.5
2026-02-01,Lunch,Neighborhood Lunch Plate 02,13,18.5,no,,6,240.5
2026-02-03,Lunch,Neighborhood Lunch Plate 02,11,18.5,no,,5,203.5
2026-02-05,Lunch,Neighborhood Lunch Plate 02,7,18.5,no,,3,129.5
2026-02-07,Lunch,Neighborhood Lunch Plate 02,19,18.5,no,,9,351.5
2026-02-09,Lunch,Neighborhood Lunch Plate 02,11,18.5,no,,5,203.5
2026-02-11,Lunch,Neighborhood Lunch Plate 02,7,18.5,no,,3,129.5
2026-02-13,Lunch,Neighborhood Lunch Plate 02,19,18.5,no,,9,351.5
2026-02-15,Lunch,Neighborhood Lunch Plate 02,15,18.5,no,,7,277.5
2026-02-17,Lunch,Neighborhood Lunch Plate 02,7,18.5,no,,3,129.5
2026-02-19,Lunch,Neighborhood Lunch Plate 02,9,18.5,no,,4,166.5
2026-02-21,Lunch,Neighborhood Lunch Plate 02,21,18.5,no,,10,388.5
2026-02-23,Lunch,Neighborhood Lunch Plate 02,7,18.5,no,,3,129.5
2026-02-25,Lunch,Neighborhood Lunch Plate 02,9,18.5,no,,4,166.5
2026-02-27,Lunch,Neighborhood Lunch Plate 02,21,18.5,no,,10,388.5
2026-03-01,Lunch,Neighborhood Lunch Plate 02,11,18.5,no,,5,203.5
2026-03-03,Lunch,Neighborhood Lunch Plate 02,16,15.54,yes,Chef Special,8,248.64
2026-03-05,Lunch,Neighborhood Lunch Plate 02,11,18.5,no,,5,203.5
2026-03-07,Lunch,Neighborhood Lunch Plate 02,17,18.5,no,,8,314.5
2026-03-09,Lunch,Neighborhood Lunch Plate 02,9,18.5,no,,4,166.5
2026-03-11,Lunch,Neighborhood Lunch Plate 02,11,18.5,no,,5,203.5
2026-03-13,Lunch,Neighborhood Lunch Plate 02,17,18.5,no,,8,314.5
2026-03-15,Lunch,Neighborhood Lunch Plate 02,13,18.5,no,,6,240.5
2026-03-17,Lunch,Neighborhood Lunch Plate 02,11,18.5,no,,5,203.5
2026-03-19,Lunch,Neighborhood Lunch Plate 02,7,18.5,no,,3,129.5
2026-03-21,Lunch,Neighborhood Lunch Plate 02,19,18.5,no,,9,351.5
